sample_id,latitude,longitude,state,district,soil_type,sample_date,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Carbon_pct,Bulk_Density_g_cm3,Moisture_pct,Texture_Sand_pct,Texture_Silt_pct,Texture_Clay_pct,CEC_cmol_kg,EC_dS_m,S2_B2,S2_B3,S2_B4,S2_B8,S2_B11,S2_B12,S2_NDVI,S2_SAVI,S2_BSI
299,13.0232,77.6496,Karnataka,Bangalore,red,2025-05-26,5.87,120.0,15.63,288.2,0.31,1.71,23.4,63.1,21.8,15.2,9.27,0.17,0.0612,0.0961,0.1098,0.1872,0.1574,0.087,0.2606,0.1457,0.0
300,12.9179,77.6429,Karnataka,Bangalore,red,2022-11-10,5.69,151.1,11.46,263.2,0.25,1.54,20.8,60.3,19.1,20.6,12.66,0.21,0.0639,0.0904,0.124,0.1956,0.1818,0.0986,0.224,0.131,0.0519
301,12.9341,77.5204,Karnataka,Bangalore,red,2023-04-06,5.6,113.7,12.37,279.6,0.51,1.7,16.7,56.7,20.3,23.0,11.85,0.22,0.0698,0.0901,0.1171,0.1969,0.168,0.0931,0.2541,0.1471,0.0146
302,12.9443,77.6294,Karnataka,Bangalore,red,2024-04-11,5.51,107.4,9.04,272.5,0.64,1.73,20.5,53.1,27.6,19.2,10.32,0.22,0.056,0.0846,0.1015,0.187,0.1453,0.0788,0.2964,0.1627,-0.0393
303,13.0649,77.6329,Karnataka,Bangalore,red,2025-12-25,6.26,151.2,18.54,235.0,0.28,1.58,17.3,53.7,20.1,26.3,12.69,0.1,0.0722,0.1007,0.127,0.207,0.1818,0.1088,0.2395,0.1439,0.0366
304,12.9017,77.6356,Karnataka,Bangalore,red,2022-04-09,5.51,200.3,8.92,265.6,0.64,1.79,17.0,74.9,6.4,18.7,13.39,0.33,0.0576,0.083,0.1166,0.2027,0.1643,0.089,0.2697,0.1576,-0.0032
305,12.9492,77.5386,Karnataka,Bangalore,red,2023-04-19,6.87,188.0,12.08,183.3,0.44,1.73,14.5,59.0,21.5,19.5,10.69,0.25,0.0645,0.0977,0.1219,0.2246,0.1963,0.1171,0.2964,0.182,0.0218
306,12.882,77.6189,Karnataka,Bangalore,red,2024-04-05,5.62,117.0,14.66,384.8,0.56,1.8,19.4,64.9,13.0,22.1,11.61,0.26,0.0614,0.088,0.1205,0.1949,0.1558,0.0884,0.2359,0.1369,0.0025
307,12.8779,77.6313,Karnataka,Bangalore,red,2025-11-18,6.75,148.0,6.3,263.1,0.45,1.7,22.7,64.0,16.3,19.8,13.23,0.16,0.0517,0.0866,0.1146,0.1831,0.1499,0.0694,0.2301,0.1288,0.0027
308,12.9291,77.5427,Karnataka,Bangalore,red,2022-11-15,5.81,197.8,18.8,302.0,0.53,1.47,18.7,54.7,27.5,17.8,13.1,0.14,0.0554,0.0876,0.117,0.1897,0.1728,0.0883,0.237,0.1352,0.0359
309,12.9475,77.5948,Karnataka,Bangalore,red,2023-12-25,6.74,104.8,9.34,338.6,0.25,1.68,16.0,59.5,16.0,24.6,15.0,0.23,0.0715,0.1021,0.13,0.2291,0.1977,0.1262,0.276,0.173,0.0292
310,12.9671,77.5098,Karnataka,Bangalore,red,2024-12-22,6.19,118.6,17.69,208.6,0.47,1.76,23.0,58.1,17.7,24.2,11.95,0.15,0.0614,0.0813,0.1198,0.1794,0.1475,0.0767,0.1992,0.1119,0.015
311,12.9636,77.6178,Karnataka,Bangalore,red,2025-11-18,6.49,132.1,18.89,324.3,0.45,1.77,14.6,64.8,10.9,24.4,11.6,0.31,0.0632,0.0999,0.1318,0.2096,0.1998,0.1057,0.2279,0.1387,0.0676
312,12.9739,77.5102,Karnataka,Bangalore,red,2022-05-18,6.32,112.9,16.28,363.6,0.55,1.48,25.7,70.6,1.1,28.4,15.0,0.15,0.0587,0.0859,0.1016,0.1673,0.1196,0.0582,0.2443,0.1282,-0.0557
313,13.0105,77.5754,Karnataka,Bangalore,red,2023-04-06,6.26,222.3,16.45,348.6,0.4,1.65,21.4,66.4,15.7,17.9,11.22,0.27,0.0583,0.0936,0.1262,0.1993,0.1593,0.087,0.2246,0.1328,0.011
314,12.9525,77.6166,Karnataka,Bangalore,red,2024-11-20,6.29,173.4,18.63,301.0,0.57,1.8,23.5,62.6,14.1,23.2,15.0,0.31,0.0463,0.0781,0.1143,0.1838,0.1304,0.0656,0.2331,0.1306,-0.0376
315,12.8733,77.517,Karnataka,Bangalore,red,2025-11-01,5.97,195.9,19.44,180.0,0.35,1.46,21.2,59.4,17.4,23.2,13.07,0.17,0.0601,0.0918,0.1165,0.1955,0.163,0.0901,0.2532,0.1459,0.0072
316,12.8775,77.5611,Karnataka,Bangalore,red,2022-05-09,6.46,206.0,13.75,302.4,0.37,1.77,13.8,71.4,10.3,18.3,10.03,0.14,0.0689,0.0992,0.1301,0.2271,0.2076,0.1243,0.2716,0.1697,0.0475
317,13.0351,77.6279,Karnataka,Bangalore,red,2023-04-20,6.02,115.4,16.28,339.2,0.4,1.73,25.0,55.8,20.4,23.7,15.0,0.14,0.0548,0.0922,0.1151,0.173,0.1435,0.068,0.201,0.1102,0.0109
318,13.0241,77.6395,Karnataka,Bangalore,red,2024-04-21,6.78,203.4,18.32,275.5,0.51,1.78,19.0,70.2,14.2,15.6,9.63,0.13,0.065,0.0905,0.1177,0.2009,0.1595,0.0876,0.2611,0.1525,-0.0066
319,12.9591,77.609,Karnataka,Bangalore,red,2025-04-08,5.61,174.0,9.09,191.1,0.56,1.71,14.7,57.6,21.6,20.7,13.19,0.2,0.0547,0.0917,0.13,0.2217,0.187,0.1093,0.2607,0.1615,0.0247
320,13.0224,77.5862,Karnataka,Bangalore,red,2022-05-16,6.53,163.7,9.68,267.7,0.42,1.6,18.7,53.7,19.5,26.8,15.0,0.27,0.0517,0.0883,0.1175,0.1963,0.1717,0.0944,0.2511,0.1452,0.0228
321,12.9527,77.5631,Karnataka,Bangalore,red,2023-05-11,5.78,169.6,12.02,330.6,0.41,1.65,27.6,64.0,12.4,23.6,12.53,0.13,0.0445,0.0853,0.1034,0.1663,0.1353,0.0527,0.2332,0.1226,-0.0157
322,13.0071,77.5212,Karnataka,Bangalore,red,2024-04-04,6.65,147.5,14.72,276.9,0.39,1.77,16.2,69.2,5.9,24.8,15.0,0.16,0.0511,0.0943,0.1331,0.2255,0.1836,0.1133,0.2577,0.1614,0.018
323,13.018,77.5324,Karnataka,Bangalore,red,2025-11-18,5.82,210.8,17.26,247.1,0.55,1.61,16.0,65.5,15.8,18.6,11.3,0.18,0.058,0.09,0.1339,0.2005,0.18,0.105,0.1992,0.1197,0.0562
324,12.9936,77.5006,Karnataka,Bangalore,red,2022-04-03,6.29,106.7,6.61,217.5,0.44,1.55,23.8,53.5,20.5,25.9,15.0,0.3,0.062,0.0854,0.1147,0.1754,0.1446,0.0711,0.2092,0.1152,0.0076
325,12.8899,77.5531,Karnataka,Bangalore,red,2023-04-06,5.45,212.0,15.09,230.9,0.41,1.58,22.7,71.3,9.6,19.1,13.26,0.34,0.0622,0.0868,0.1201,0.1875,0.1593,0.0808,0.2191,0.1252,0.0218
326,12.9411,77.5505,Karnataka,Bangalore,red,2024-11-26,6.82,108.2,12.86,343.8,0.33,1.46,23.7,64.0,6.5,29.5,15.0,0.27,0.0504,0.0953,0.1141,0.1815,0.1474,0.0844,0.228,0.1271,0.0
327,13.016,77.5941,Karnataka,Bangalore,red,2025-05-14,6.86,224.9,9.16,255.2,0.27,1.59,26.7,59.7,21.5,18.9,12.75,0.13,0.0468,0.1019,0.1202,0.1741,0.1397,0.0693,0.1831,0.1018,0.0113
328,12.9318,77.631,Karnataka,Bangalore,red,2022-05-14,6.24,144.3,7.94,299.1,0.35,1.73,25.7,74.3,8.4,17.3,9.16,0.32,0.0607,0.0903,0.1189,0.1783,0.1402,0.0692,0.1999,0.1118,0.0015
329,13.0154,77.6431,Karnataka,Bangalore,red,2023-12-14,5.85,223.7,19.28,206.0,0.65,1.56,28.3,53.6,16.7,29.6,15.0,0.32,0.0485,0.0798,0.1018,0.1368,0.109,0.0459,0.1467,0.0711,-0.014
330,12.9911,77.6125,Karnataka,Bangalore,red,2024-05-08,5.65,195.6,7.84,185.8,0.37,1.8,22.6,70.5,3.3,26.2,13.08,0.25,0.0596,0.0876,0.1249,0.1942,0.151,0.0837,0.2172,0.1269,0.0031
331,12.9087,77.4964,Karnataka,Bangalore,red,2025-04-09,6.3,168.7,11.24,367.5,0.52,1.62,20.7,67.2,12.4,20.4,13.91,0.13,0.0527,0.0794,0.1119,0.1947,0.1606,0.0864,0.2701,0.154,-0.004
332,13.0475,77.5755,Karnataka,Bangalore,red,2022-04-20,5.64,132.4,12.15,315.8,0.63,1.69,17.0,66.8,14.9,18.3,14.56,0.32,0.062,0.0901,0.1135,0.2027,0.1705,0.0968,0.2821,0.1639,0.0023
333,13.0354,77.4985,Karnataka,Bangalore,red,2023-05-17,6.28,199.4,18.26,353.1,0.54,1.63,22.6,57.8,21.5,20.7,13.21,0.21,0.0614,0.0867,0.1127,0.1848,0.144,0.07,0.2424,0.1356,-0.0155
334,12.9033,77.5489,Karnataka,Bangalore,red,2024-04-23,6.85,200.7,12.15,374.6,0.47,1.72,19.7,51.0,19.3,29.8,15.0,0.17,0.0577,0.084,0.1136,0.1917,0.158,0.0868,0.2558,0.1455,-0.0002
335,12.9602,77.5258,Karnataka,Bangalore,red,2025-05-15,5.58,195.2,19.13,333.1,0.46,1.5,19.9,70.7,12.1,17.1,12.06,0.2,0.0503,0.0907,0.1195,0.1932,0.1693,0.0965,0.2357,0.136,0.0278
336,13.0154,77.685,Karnataka,Bangalore,red,2022-05-13,6.54,123.1,15.89,319.5,0.29,1.48,22.9,66.2,13.9,19.9,9.5,0.28,0.0528,0.0875,0.1179,0.1857,0.1652,0.085,0.2233,0.1266,0.0317
337,13.016,77.6822,Karnataka,Bangalore,red,2023-11-21,6.7,214.2,8.02,349.2,0.47,1.47,18.3,54.3,30.1,15.7,8.8,0.18,0.0584,0.0796,0.1226,0.1928,0.1748,0.1003,0.2226,0.1291,0.0431
338,12.9134,77.6219,Karnataka,Bangalore,red,2024-12-14,5.45,198.0,12.98,357.6,0.32,1.66,13.8,74.0,-2.5,28.5,15.0,0.22,0.0745,0.095,0.1203,0.2318,0.2174,0.132,0.3167,0.1963,0.0399
339,12.8991,77.4965,Karnataka,Bangalore,red,2025-11-11,6.36,139.1,8.91,220.7,0.43,1.47,26.1,50.2,25.8,24.0,15.0,0.19,0.0556,0.0794,0.1132,0.1626,0.1343,0.0658,0.1791,0.0955,0.01
340,12.9858,77.6763,Karnataka,Bangalore,red,2022-04-25,6.29,191.8,14.33,353.2,0.62,1.51,16.6,60.4,23.8,15.7,11.8,0.21,0.0635,0.1011,0.1184,0.1983,0.1702,0.0873,0.2523,0.1467,0.0182
341,12.9749,77.6292,Karnataka,Bangalore,red,2023-04-04,6.25,156.9,7.88,332.8,0.37,1.55,14.5,59.5,20.0,20.5,11.11,0.23,0.0617,0.0957,0.1277,0.2218,0.1989,0.1275,0.2692,0.1662,0.0395
342,12.985,77.6146,Karnataka,Bangalore,red,2024-05-20,6.31,195.8,15.9,274.0,0.48,1.75,15.5,63.2,7.1,29.7,15.0,0.16,0.062,0.093,0.1224,0.2135,0.1877,0.1017,0.2712,0.1635,0.0275
343,12.8936,77.6596,Karnataka,Bangalore,red,2025-12-14,6.32,127.4,19.71,180.3,0.48,1.46,20.8,65.8,11.4,22.8,14.92,0.26,0.0553,0.0863,0.1104,0.1872,0.1552,0.0893,0.2581,0.1444,-0.003
344,12.8928,77.5567,Karnataka,Bangalore,red,2022-12-24,6.48,181.6,6.95,246.1,0.27,1.64,16.2,70.2,9.6,20.2,10.34,0.29,0.0682,0.1013,0.138,0.2209,0.2045,0.1204,0.231,0.1448,0.0647
345,12.9621,77.663,Karnataka,Bangalore,red,2023-11-15,6.79,209.6,12.64,187.8,0.48,1.5,17.0,70.8,-0.2,29.4,15.0,0.14,0.0626,0.089,0.1104,0.2079,0.1828,0.1042,0.3063,0.1787,0.0091
346,13.0476,77.5607,Karnataka,Bangalore,red,2024-05-09,6.47,143.6,13.5,225.8,0.56,1.69,25.9,68.6,10.2,21.2,12.43,0.3,0.0583,0.0864,0.1074,0.1687,0.1223,0.0578,0.222,0.1185,-0.0397
347,13.012,77.5443,Karnataka,Bangalore,red,2025-04-16,6.29,126.9,7.64,352.1,0.59,1.56,21.7,59.4,20.5,20.1,11.35,0.31,0.0585,0.0892,0.1102,0.1792,0.1453,0.0788,0.2384,0.1311,-0.0072
348,13.0298,77.671,Karnataka,Bangalore,red,2022-05-07,5.64,172.8,6.52,224.5,0.6,1.48,18.5,70.7,8.7,20.6,12.62,0.23,0.0507,0.0754,0.1131,0.1908,0.1581,0.0875,0.2557,0.145,0.0007
349,12.8773,77.5675,Karnataka,Bangalore,red,2023-04-01,6.58,144.7,19.75,293.6,0.39,1.8,18.0,71.8,5.9,22.3,10.96,0.15,0.0603,0.1011,0.1267,0.2103,0.1837,0.0976,0.2481,0.1498,0.0335
350,12.9978,77.532,Karnataka,Bangalore,red,2024-05-07,6.76,145.2,16.73,344.0,0.37,1.46,25.2,71.2,13.1,15.7,8.16,0.29,0.063,0.0863,0.119,0.1731,0.1355,0.0759,0.1852,0.1024,0.0028
351,12.9799,77.5442,Karnataka,Bangalore,red,2025-11-19,5.66,137.6,19.42,303.1,0.36,1.49,22.9,69.3,7.7,23.0,11.26,0.24,0.0614,0.0848,0.1147,0.1939,0.149,0.0898,0.2566,0.1469,-0.019
352,12.9058,77.6092,Karnataka,Bangalore,red,2022-12-20,5.63,158.6,15.46,203.3,0.35,1.47,18.0,65.3,18.6,16.1,9.66,0.21,0.0587,0.098,0.1248,0.2117,0.1837,0.1071,0.2582,0.1558,0.028
353,13.0097,77.5095,Karnataka,Bangalore,red,2023-11-22,5.54,204.8,16.7,304.9,0.39,1.48,24.0,55.0,25.1,20.0,13.98,0.3,0.0577,0.0812,0.1187,0.1763,0.1463,0.0707,0.1953,0.1087,0.0167
354,13.0422,77.555,Karnataka,Bangalore,red,2024-12-01,6.74,123.2,11.09,220.3,0.51,1.77,27.6,61.8,11.7,26.5,14.26,0.18,0.0397,0.0779,0.1172,0.1649,0.1181,0.0518,0.1691,0.0915,-0.02
355,12.9812,77.5042,Karnataka,Bangalore,red,2025-11-18,5.97,137.6,13.11,269.3,0.28,1.7,24.5,62.0,21.3,16.7,10.02,0.13,0.0593,0.0914,0.1124,0.1883,0.1568,0.0827,0.2524,0.1422,0.0017
356,12.9834,77.5584,Karnataka,Bangalore,red,2022-05-06,6.14,124.3,8.92,332.7,0.43,1.6,17.3,56.0,20.2,23.9,11.65,0.35,0.0641,0.093,0.1272,0.2084,0.1787,0.1005,0.242,0.1458,0.0294
357,12.8839,77.5117,Karnataka,Bangalore,red,2023-12-11,6.29,166.6,13.77,360.8,0.52,1.51,21.8,73.3,10.6,16.2,10.5,0.34,0.0581,0.0942,0.1091,0.1801,0.1521,0.0803,0.2455,0.1349,0.0021
358,12.948,77.6056,Karnataka,Bangalore,red,2024-05-07,6.77,215.7,6.0,212.3,0.45,1.5,25.4,52.3,22.8,24.9,15.0,0.23,0.0558,0.0836,0.1088,0.1775,0.1262,0.0613,0.24,0.1311,-0.0457
359,13.0673,77.5708,Karnataka,Bangalore,red,2025-05-28,6.81,143.7,19.76,255.7,0.52,1.48,26.7,64.3,16.0,19.7,12.16,0.1,0.0524,0.0712,0.105,0.1732,0.1242,0.059,0.2451,0.1315,-0.0498
360,12.9489,77.5536,Karnataka,Bangalore,red,2022-12-13,6.66,191.2,18.06,370.4,0.37,1.53,14.3,63.7,15.7,20.5,11.43,0.28,0.0594,0.0955,0.1296,0.2215,0.2106,0.1256,0.2617,0.162,0.0603
361,26.2069,72.9343,Rajasthan,Jodhpur,desert,2023-04-05,8.02,101.4,10.72,270.9,0.26,1.95,10.6,83.2,6.3,10.5,7.66,0.89,0.069,0.1131,0.1517,0.2568,0.2498,0.1498,0.2573,0.1735,0.0876
362,26.216,73.0219,Rajasthan,Jodhpur,desert,2024-12-13,8.39,91.7,7.65,480.3,0.37,1.79,16.4,78.7,11.4,9.9,6.54,0.65,0.0622,0.093,0.1313,0.2209,0.2014,0.1163,0.2544,0.1577,0.0502
363,26.2936,73.061,Rajasthan,Jodhpur,desert,2025-04-19,7.8,168.9,7.29,400.2,0.26,1.7,11.6,82.1,11.1,6.9,4.72,1.18,0.0731,0.1128,0.1453,0.2567,0.2295,0.1522,0.2771,0.1853,0.0535
364,26.2745,73.0683,Rajasthan,Jodhpur,desert,2022-04-22,8.92,183.6,7.72,245.8,0.29,1.91,13.5,72.8,15.3,11.9,8.25,0.33,0.079,0.1034,0.1368,0.2315,0.2196,0.1434,0.2571,0.1636,0.0672
365,26.3721,73.0796,Rajasthan,Jodhpur,desert,2023-11-06,8.6,118.2,8.1,374.8,0.34,1.84,6.1,76.2,10.8,13.0,8.09,0.65,0.0639,0.1201,0.1428,0.2628,0.2565,0.1719,0.2959,0.1988,0.0761
366,26.3049,72.9774,Rajasthan,Jodhpur,desert,2024-04-05,7.56,138.6,5.35,237.0,0.16,1.95,13.2,85.0,0.8,14.2,7.83,1.02,0.0674,0.1154,0.1609,0.2383,0.2352,0.1442,0.1939,0.1291,0.1089
367,26.2693,73.0816,Rajasthan,Jodhpur,desert,2025-11-26,8.73,111.4,4.89,277.6,0.3,1.79,7.0,75.6,10.9,13.5,6.66,0.39,0.0764,0.1115,0.1453,0.2647,0.2667,0.1673,0.2912,0.1968,0.0889
368,26.3341,72.9676,Rajasthan,Jodhpur,desert,2022-12-24,7.55,118.4,11.47,270.9,0.36,1.75,15.0,86.0,4.2,9.8,5.77,1.19,0.0734,0.0982,0.1348,0.2297,0.213,0.1261,0.2604,0.1647,0.0579
369,26.3305,73.0265,Rajasthan,Jodhpur,desert,2023-12-22,8.56,149.1,5.34,351.6,0.34,1.67,9.2,84.7,8.2,7.1,4.45,0.96,0.0726,0.1112,0.1421,0.2565,0.2477,0.1541,0.287,0.191,0.0734
370,26.3635,73.0475,Rajasthan,Jodhpur,desert,2024-12-20,8.82,84.1,9.43,537.4,0.36,1.82,15.1,72.9,17.4,9.7,6.54,0.29,0.0636,0.1002,0.1297,0.2226,0.2156,0.1227,0.2637,0.1635,0.0659
371,26.219,72.9875,Rajasthan,Jodhpur,desert,2025-05-11,8.4,93.6,10.19,467.2,0.43,1.84,8.6,76.7,9.7,13.6,8.53,0.81,0.0696,0.1038,0.1464,0.2476,0.2302,0.1544,0.2569,0.1698,0.0696
372,26.1984,73.1077,Rajasthan,Jodhpur,desert,2022-05-20,7.59,92.6,5.76,313.5,0.31,1.63,5.6,86.6,1.6,11.7,7.27,0.27,0.0825,0.1101,0.1415,0.2769,0.2625,0.1793,0.3236,0.2211,0.0619
373,26.2307,73.0134,Rajasthan,Jodhpur,desert,2023-04-21,8.42,96.2,8.53,539.2,0.34,1.91,15.0,72.4,15.5,12.1,8.99,0.91,0.0586,0.1072,0.1309,0.2279,0.2066,0.1202,0.2703,0.1694,0.0459
374,26.3792,72.9716,Rajasthan,Jodhpur,desert,2024-11-06,8.6,151.0,10.25,311.5,0.29,1.57,13.1,85.4,-0.3,15.0,8.04,0.62,0.069,0.11,0.1426,0.242,0.2314,0.1295,0.2584,0.1686,0.0747
375,26.3231,72.9407,Rajasthan,Jodhpur,desert,2025-04-03,8.18,100.6,10.15,292.1,0.28,1.81,12.1,88.6,1.5,9.9,5.46,1.12,0.0821,0.1116,0.1436,0.2384,0.23,0.1501,0.2482,0.1612,0.0798
376,26.2949,73.0231,Rajasthan,Jodhpur,desert,2022-12-16,8.4,97.9,9.32,307.9,0.32,1.83,15.2,78.9,13.6,7.5,6.29,1.11,0.0692,0.1123,0.1324,0.2262,0.203,0.1291,0.2616,0.1639,0.0455
377,26.2518,73.0564,Rajasthan,Jodhpur,desert,2023-12-02,7.45,137.8,10.54,379.1,0.28,1.78,14.1,85.6,0.9,13.4,9.6,1.14,0.0767,0.1062,0.1314,0.2362,0.2194,0.1356,0.2851,0.1812,0.0519
378,26.2568,72.9582,Rajasthan,Jodhpur,desert,2024-12-04,7.55,182.1,10.13,433.8,0.34,1.62,11.5,71.8,13.6,14.6,8.85,0.29,0.0753,0.0983,0.1417,0.2452,0.2172,0.143,0.2675,0.175,0.0493
379,26.2881,72.9815,Rajasthan,Jodhpur,desert,2025-12-01,7.64,158.7,9.76,415.7,0.34,1.75,12.4,71.7,19.7,8.6,5.26,0.31,0.066,0.1023,0.1387,0.2328,0.2201,0.1397,0.2533,0.162,0.0685
380,26.2959,73.105,Rajasthan,Jodhpur,desert,2022-04-24,8.68,93.3,7.67,443.8,0.16,1.9,5.7,85.8,8.7,5.6,3.83,0.39,0.0741,0.1138,0.1624,0.274,0.2903,0.1962,0.2557,0.1788,0.1224
381,26.2712,72.9541,Rajasthan,Jodhpur,desert,2023-04-27,8.51,86.2,5.38,236.5,0.19,1.67,15.2,79.4,9.0,11.5,5.74,1.0,0.0639,0.1054,0.151,0.2278,0.2176,0.1377,0.2027,0.1311,0.0899
382,26.3168,73.0292,Rajasthan,Jodhpur,desert,2024-11-27,7.72,89.7,10.69,463.5,0.4,1.71,12.2,81.9,12.0,6.1,4.72,0.36,0.072,0.1009,0.1332,0.2434,0.2282,0.1414,0.2926,0.1886,0.0555
383,26.2964,72.9467,Rajasthan,Jodhpur,desert,2025-12-25,7.82,90.1,5.34,342.1,0.44,1.62,7.5,70.9,22.0,7.1,6.36,0.48,0.0709,0.1016,0.1367,0.2533,0.2438,0.1621,0.299,0.1965,0.0661
384,26.2054,72.9486,Rajasthan,Jodhpur,desert,2022-11-17,8.52,176.0,6.27,448.9,0.2,1.87,5.5,71.6,14.6,13.8,8.18,0.7,0.0821,0.1107,0.1629,0.2681,0.2768,0.1873,0.2441,0.1695,0.1163
385,26.2915,72.9584,Rajasthan,Jodhpur,desert,2023-04-20,8.52,143.6,4.7,492.7,0.29,1.67,12.9,73.5,19.1,7.4,5.35,0.65,0.0805,0.1213,0.1441,0.2353,0.2288,0.146,0.2404,0.1556,0.0837
386,26.2749,72.9553,Rajasthan,Jodhpur,desert,2024-04-02,8.44,161.1,5.55,482.9,0.26,1.82,7.8,80.8,6.6,12.6,6.92,1.17,0.0762,0.1257,0.1568,0.2653,0.2613,0.1706,0.257,0.1765,0.0954
387,26.277,72.9432,Rajasthan,Jodhpur,desert,2025-05-24,8.57,166.0,9.92,525.2,0.34,1.62,9.1,78.7,13.5,7.9,4.61,1.0,0.0782,0.1079,0.1451,0.2464,0.2457,0.1604,0.2587,0.1704,0.0898
388,26.3583,72.9347,Rajasthan,Jodhpur,desert,2022-12-02,7.79,174.7,5.82,298.2,0.28,1.72,13.6,78.4,10.8,10.8,5.75,0.44,0.0721,0.113,0.1395,0.2385,0.2159,0.1354,0.2619,0.1691,0.0548
389,26.3184,72.9319,Rajasthan,Jodhpur,desert,2023-05-04,7.62,123.7,9.06,541.9,0.42,1.63,10.5,88.6,5.0,6.4,5.78,0.37,0.0729,0.1083,0.1373,0.2444,0.2195,0.1411,0.2806,0.1822,0.0476
390,26.351,72.9373,Rajasthan,Jodhpur,desert,2024-12-28,8.32,175.5,9.1,421.8,0.41,1.62,9.4,73.4,17.0,9.6,7.61,1.17,0.0767,0.1112,0.1469,0.2454,0.2331,0.1444,0.2511,0.1656,0.0774
391,26.2098,73.0347,Rajasthan,Jodhpur,desert,2025-04-14,8.51,159.9,6.62,411.2,0.45,1.91,8.7,86.7,2.3,10.9,6.92,0.81,0.0749,0.1093,0.1453,0.2477,0.2211,0.1521,0.2606,0.172,0.0558
392,26.2917,72.9225,Rajasthan,Jodhpur,desert,2022-12-07,8.21,87.1,10.38,491.0,0.44,1.73,14.0,79.4,15.2,5.4,4.88,0.48,0.0636,0.0947,0.1355,0.2238,0.2107,0.1278,0.2458,0.1541,0.0652
393,26.3344,73.0948,Rajasthan,Jodhpur,desert,2023-12-06,7.92,130.4,10.86,466.6,0.19,1.56,6.3,83.0,9.1,8.0,5.33,0.68,0.0826,0.1119,0.1644,0.2756,0.2763,0.1868,0.2527,0.1774,0.1069
394,26.3692,73.0285,Rajasthan,Jodhpur,desert,2024-05-26,7.53,172.5,6.66,230.8,0.39,1.72,12.5,79.3,12.0,8.7,7.28,0.51,0.0595,0.1047,0.1317,0.2279,0.2101,0.1403,0.2675,0.1679,0.0522
395,26.2533,73.0496,Rajasthan,Jodhpur,desert,2025-04-18,8.79,136.1,4.41,346.4,0.36,1.74,15.8,76.7,12.1,11.2,6.98,0.29,0.0625,0.1061,0.1286,0.2125,0.1948,0.126,0.246,0.1496,0.0502
396,26.2251,72.9905,Rajasthan,Jodhpur,desert,2022-11-17,8.15,94.7,8.64,536.5,0.36,1.63,8.1,89.6,3.3,7.0,6.28,0.96,0.0741,0.1096,0.1506,0.2615,0.2531,0.1673,0.2691,0.1824,0.0835
397,26.3042,73.08,Rajasthan,Jodhpur,desert,2023-04-07,8.22,133.2,9.68,443.8,0.35,1.76,9.2,71.3,21.0,7.8,4.8,0.53,0.0697,0.1006,0.1409,0.2498,0.237,0.1503,0.2787,0.1834,0.068
398,26.2841,73.0455,Rajasthan,Jodhpur,desert,2024-11-14,8.85,113.4,6.21,450.0,0.42,1.75,15.5,71.6,18.8,9.6,5.8,1.08,0.0685,0.0999,0.1336,0.2142,0.1959,0.1129,0.2317,0.1426,0.0566
399,26.3089,73.0023,Rajasthan,Jodhpur,desert,2025-11-21,8.38,129.9,4.5,507.7,0.44,1.64,9.5,72.6,16.9,10.4,6.79,1.15,0.0757,0.1121,0.1333,0.2382,0.2213,0.1408,0.2824,0.1806,0.0541
400,26.2768,73.1141,Rajasthan,Jodhpur,desert,2022-04-05,8.1,169.8,5.06,480.5,0.34,1.62,13.1,81.9,9.9,8.3,5.39,0.5,0.0688,0.0966,0.1339,0.2304,0.2205,0.1364,0.2649,0.1675,0.0662
401,26.2276,72.9282,Rajasthan,Jodhpur,desert,2023-11-19,7.88,155.1,10.71,448.6,0.26,1.82,15.4,73.3,17.1,9.6,7.21,0.4,0.0647,0.1034,0.1339,0.2252,0.2212,0.1366,0.2542,0.1594,0.0756
402,26.3641,73.0009,Rajasthan,Jodhpur,desert,2024-12-25,7.94,85.0,6.98,398.2,0.19,1.62,11.3,73.7,18.7,7.6,4.45,0.54,0.0673,0.1148,0.1516,0.2427,0.2506,0.1663,0.231,0.1528,0.1097
403,26.3761,73.0347,Rajasthan,Jodhpur,desert,2025-05-26,8.92,156.8,9.64,376.4,0.19,1.67,5.4,76.4,14.0,9.6,5.37,1.15,0.0756,0.1173,0.1676,0.2773,0.2857,0.1918,0.2466,0.1741,0.1184
404,26.2692,72.9385,Rajasthan,Jodhpur,desert,2022-04-20,8.79,158.1,8.41,321.7,0.32,1.71,13.2,78.8,7.1,14.1,7.39,1.05,0.0732,0.1003,0.1478,0.2409,0.2171,0.1345,0.2395,0.1571,0.0642
405,26.2189,72.9836,Rajasthan,Jodhpur,desert,2023-04-22,7.47,111.5,7.56,441.6,0.34,1.58,15.8,74.4,14.7,10.8,7.24,0.74,0.0597,0.1037,0.1376,0.221,0.208,0.1198,0.2326,0.1457,0.069
406,26.2688,73.1185,Rajasthan,Jodhpur,desert,2024-12-10,7.88,120.3,11.82,508.5,0.26,1.59,9.3,87.1,6.4,6.5,4.26,0.94,0.079,0.1091,0.1522,0.2574,0.2531,0.1618,0.2568,0.1735,0.0914
407,26.2471,73.1066,Rajasthan,Jodhpur,desert,2025-12-03,8.71,123.8,5.15,320.1,0.2,1.95,13.2,88.0,-0.2,12.3,7.42,0.75,0.073,0.1147,0.1452,0.236,0.2399,0.1521,0.2382,0.1546,0.0986
